codigo,horas_semanales,horas_semanales_profe,horas_semanales_grupo,grupo,profesor,materia,aula,1,2,3,4,5,6,fecha_inicio,fecha_final,7,8,9,aula_propia,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3150,1,1,1,"1SMX A","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3150,1,1,0,"1SMX B","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3150,1,1,0,"1SMX C","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3150,1,0,1,"1SMX A","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3150,1,0,0,"1SMX B","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3150,1,0,0,"1SMX C","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3076,2,2,2,"1SMX A","05","84","20.2",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3076,2,2,0,"1SMX B","05","84","20.2",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3076,2,2,0,"1SMX C","05","84","20.2",,20,2.00000,,,,"20160706","20170630",0.01040,,,"20.2",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3076,2,0,2,"1SMX A","10","55","20.4",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3076,2,0,0,"1SMX B","10","55","20.4",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3076,2,0,0,"1SMX C","10","55","20.4",,0,2.00000,,,,"20160706","20170630",0.01040,,,"20.4",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3077,1,1,1,"1SMX A","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3077,1,1,0,"1SMX B","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3077,1,1,0,"1SMX C","10","55","28",,20,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3077,1,0,1,"1SMX A","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
