codigo,nombre,1,2,aula,4,5,6,7,8,9,10,11,12,13,codigo_estudio,estudio,14,15,16,nombre_corto,18
"204","1r IME-M1 - Tècniques de fabricació",,,,,,,0,14,,,"14",,1.00000,"IME","Manteniment electromecànic",,,,"M 1",
"261","1r IME-M2 - Tècniques d'unió i muntatge",,,,,,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 2",
"486","1r IME-M3 - Electricitat i automatismes elèctrics",,,,,,,0,14,,,"IME",,1.00000,"IME","Manteniment electromecànic",,,,"M 3",
"210","1r IME-M4 - Atuomatismes pneumàtics i hidràulics",,,,,,,0,14,,,"IME",,1.00000,"IME","Manteniment electromecànic",,,,"M 4",
"212","1r IME-M5 - Metrologia i assaigs",,,,,,,0,14,,,"0",,1.00000,"IME","Manteniment electromecànic",,,,"M 5",
"214","1r IME-M6 - Muntatge i manteniment elèctric-electrònic",,,,,0,14,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 6",
"22","1r IME-M8 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 8",
"60","1r IME-M10 - Àngles",,,,,,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 10",
"216","2n IME-M2 - Tècniques d'unió i muntatge",,,,,,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 2",
"217","2n IME-M3 - Electricitat i automatismes elèctrics",,,,,,,0,14,,,"IME",,1.00000,"IME","Manteniment electromecànic",,,,"M 3",
"218","2n IME-M4 - Atuomatismes pneumàtics i hidràulics",,,,,,,0,14,,,"IME",,1.00000,"IME","Manteniment electromecànic",,,,"M 4",
"219","2n IME-M6 - Muntatge i manteniment elèctric-electrònic",,,,,0,14,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 6",
"226","2n IME-M7 - Muntatge i manteniment de línies automatitzades",,,,,14,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 7",
"33","2n IME-M8 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"IME","Manteniment electromecànic",,,,"M 8",
"487","2n IME-M9 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000",,1.00000,"IME","Manteniment electromecànic",,,,"M 9",
"220","1r MEC-M1 - Processos de mecanització",,,,,,,0,14,,,"14",,1.00000,"MEC","Mecanització",,,,"M 1",
"224","1r MEC-M3 - Fabricació per abrasió, electroerosió, tall i conformat",,,,,99,99,0,14,,,,,1.00000,"MEC","Mecanització",,,,"M 3",
"225","1r MEC-M4 - Fabricació per arrencament de ferritja",,,,,,,0,14,,,"Mecanització",,1.00000,"MEC","Mecanització",,,,"M 4",
"222","1r MEC-M6 - Interpretació i representació gràfica",,,,,,,0,14,,,"MEC",,1.00000,"MEC","Mecanització",,,,"M 6",
"221","1r MEC-M7 - Metrologia i assaigs",,,,,,,0,14,,,"0",,1.00000,"MEC","Mecanització",,,,"M 7",
"37","1r MEC-M8 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"MEC","Mecanització",,,,"M 8",
"50","1r MEC-M10 - Àngles",,,,,,,0,14,,,,,1.00000,"MEC","Mecanització",,,,"M 10",
"227","2n MEC-M2 - Mecanització per control numèric",,,,,,,0,14,,,"1.00000",,1.00000,"MEC","Mecanització",,,,"M 2",
"228","2n MEC-M3 - Fabricació per abrasió, electroerosió, tall i conformat",,,,,99,99,0,14,,,,,1.00000,"MEC","Mecanització",,,,"M 3",
"229","2n MEC-M5 - Sistemes automatitzats",,,,,,,0,14,,,"14",,1.00000,"MEC","Mecanització",,,,"M 5",
"489","2n MEC-M8 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"MEC","Mecanització",,,,"M 8",
"85","2n MEC-M9 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000",,1.00000,"MEC","Mecanització",,,,"M 9",
"232","2n SIC-M2 - Traçat, tall i conformat",,,,,,,0,14,,,"14",,1.00000,"SIC","Soldadura i caldereria",,,,"M 2",
"231","2n SIC-M4 - Soldadura en atmosfera natural",,,,,,,0,14,,,"1.00000",,1.00000,"SIC","Soldadura i caldereria",,,,"M 4",
"234","2n SIC-M5 - Soldadura en atmosfera protegida",,,,,,,0,14,,,"1.00000",,1.00000,"SIC","Soldadura i caldereria",,,,"M 5",
"235","2n SIC-M6 - Muntatge",,,,,,,0,14,,,,,1.00000,"SIC","Soldadura i caldereria",,,,"M 6",
"545","1r MAP-M1 - Atenció al client, consumidor i usuari",,,,,,,0,14,,,"Màrqueting i publicitat",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 1",
"547","1r MAP-M3 - Gestió econòmica i financera de l'empresa",,,,,,,0,14,,,"Màrqueting i publicitat",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 3",
"548","1r MAP-M4 - Investigació comercial",,,,,,,0,14,,,"14",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 4",
"551","1r MAP-M7 - Màrqueting digital",,,,,,,0,14,,,"0",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 7",
"553","1r MAP-M9 - Polítiques de màrqueting",,,,,,,0,14,,,"14",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 9",
"555","1r MAP-M11 - Àngles",,,,,,,0,14,,,,,1.00000,"MAP","Màrqueting i publicitat",,,,"M 11",
"556","1r MAP-M12 - Formació i orientació laboral",,,,,,,0,14,,,"1.00000",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 12",
"546","2n MAP-M2 - Disseny i elaboració de material de comunicació",,,,,14,,0,14,,,,,1.00000,"MAP","Màrqueting i publicitat",,,,"M 2",
