clase,grupo,profesor,materia,aula,dia,hora,duracion
3159,"2PRID","94","646","20.5",5,8,,
3159,"2PRID","94","646","20.5",5,9,,
3160,"2PRID","95","647","20.5",4,8,,
3160,"2PRID","95","647","20.5",4,9,,
3160,"2PRID","95","647","20.5",4,10,,
3160,"2PRID","97","647","20.5",4,8,,
3160,"2PRID","97","647","20.5",4,9,,
3160,"2PRID","97","647","20.5",4,10,,
3161,"2PRID","95","648","20.5",2,8,,
3161,"2PRID","95","648","20.5",2,9,,
3161,"2PRID","95","648","20.5",3,8,,
3161,"2PRID","95","648","20.5",3,9,,
3162,"1DEP","98","663","20.6",2,1,,
3162,"1DEP","98","663","20.6",2,2,,
3162,"1DEP","98","663","20.6",4,1,,
3162,"1DEP","98","663","20.6",4,2,,
3163,"1DEP","95","664","20.6",1,4,,
3163,"1DEP","95","664","20.6",1,5,,
3163,"1DEP","95","664","20.6",1,6,,
3163,"1DEP","98","664","20.6",1,4,,
3163,"1DEP","98","664","20.6",1,5,,
3163,"1DEP","98","664","20.6",1,6,,
3164,"1DEP","98","665","20.6",1,1,,
3164,"1DEP","98","665","20.6",1,2,,
3164,"1DEP","98","665","20.6",1,3,,
3164,"1DEP","98","665","20.6",3,4,,
3164,"1DEP","98","665","20.6",5,5,,
3164,"1DEP","98","665","20.6",5,6,,
3165,"1DEP","94","666","20.6",3,2,,
3165,"1DEP","94","666","20.6",3,3,,
3165,"1DEP","98","666","20.6",3,2,,
3165,"1DEP","98","666","20.6",3,3,,
3166,"1DEP","94","667","20.6",2,3,,
3166,"1DEP","94","667","20.6",2,4,,
3166,"1DEP","94","667","20.6",2,5,,
3167,"1DEP","98","668","20.6",5,3,,
3167,"1DEP","98","668","20.6",5,4,,
3168,"1DEP","94","669","20.6",4,3,,
3168,"1DEP","94","669","20.6",4,4,,
3168,"1DEP","98","669","20.6",4,3,,
3168,"1DEP","98","669","20.6",4,4,,
3169,"1DEP","94","670","20.6",2,6,,
3169,"1DEP","94","670","20.6",4,5,,
3169,"1DEP","94","670","20.6",4,6,,
3170,"2ES","13","29","19",2,10,,
3170,"2ES","13","29","19",2,11,,
3171,"2PRID","95","647","20.5",2,10,,
3171,"2PRID","95","647","20.5",2,11,,
3172,"1MEM","49","204","E14",2,1,,
3172,"1MEM","49","204","E14",2,2,,
3172,"1MEM","49","204","E14",5,6,,
3584,"1MEM","49","261","16",2,3,,
3174,"1MEM","49","261","TM1",2,4,,
3174,"1MEM","50","261","TM1",2,4,,
3175,"1MEM","31","486","16",4,5,,
3175,"1MEM","31","486","E13",4,6,,
3175,"1MEM","31","486","E13",5,2,,
3175,"1MEM","31","486","E13",5,3,,
3173,"1MEM","56","204","TM1",1,1,,
3173,"1MEM","56","204","TM1",1,2,,
3173,"1MEM","56","204","TM1",1,3,,
3173,"1MEM","57","204","TM1",1,1,,
3173,"1MEM","57","204","TM1",1,2,,
3173,"1MEM","57","204","TM1",1,3,,
3176,"1MEM","49","210","E14",4,1,,
3176,"1MEM","49","210","E14",4,2,,
3176,"1MEM","49","210","E14",4,3,,
3176,"1MEM","53","210","E14",4,1,,
3176,"1MEM","53","210","E14",4,2,,
3176,"1MEM","53","210","E14",4,3,,
3177,"1MEM","49","212","16",1,4,,
3177,"1MEM","49","212","16",4,4,,
3178,"1MEM","56","212","TM1",2,5,,
3178,"1MEM","56","212","TM1",2,6,,
3178,"1MEM","56","212","TM1",3,1,,
3178,"1MEM","56","212","TM1",3,2,,
3178,"1MEM","57","212","TM1",2,5,,
3178,"1MEM","57","212","TM1",2,6,,
3178,"1MEM","57","212","TM1",3,1,,
3178,"1MEM","57","212","TM1",3,2,,
3179,"1MEM","36","214","TE 1",5,4,,
3179,"1MEM","36","214","TE 1",5,5,,
3179,"1MEM","114","214","TE 1",5,4,,
3179,"1MEM","114","214","TE 1",5,5,,
3180,"1MEM","36","214","TE 1",3,3,,
3181,"2MEM","50","216","TS",4,7,,
3181,"2MEM","50","216","TS",4,8,,
3182,"2MEM","114","217","TE 1",5,9,,
3182,"2MEM","114","217","TE 1",5,10,,
3182,"2MEM","114","217","TE 1",5,11,,
3183,"2MEM","50","218","E15",1,7,,
3183,"2MEM","50","218","E15",4,9,,
3183,"2MEM","50","218","E15",4,10,,
3184,"2MEM","36","219","TE 1",2,9,,
3184,"2MEM","36","219","TE 1",2,10,,
3185,"2MEM","52","226","E14",1,10,,
3185,"2MEM","52","226","E14",1,11,,
3185,"2MEM","52","226","E14",2,7,,
3185,"2MEM","52","226","E14",2,8,,
3185,"2MEM","52","226","E16",3,8,,
3185,"2MEM","52","226","E16",3,9,,
3186,"2MEM","49","262","TM1",3,10,,
3186,"2MEM","49","262","TM1",3,11,,
3187,"1MEC","49","220","17",1,2,,
3187,"1MEC","49","220","17",1,3,,
3187,"1MEC","49","220","17",2,6,,
